name,avg_objects_per_frame,avg_pitch,avg_roll,avg_yaw,blink_rate_per_sec,blinks_early,blinks_late,blinks_mid,body_movement_bursts,body_movement_rate,dominant_emotion,duration,emotion_Angry,emotion_Fear,emotion_Happy,emotion_Neutral,emotion_Sad,emotion_Unknown,emotion_switch_rate,emotion_switches,engagement_score,eye_dir_center,eye_dir_down,eye_dir_left,eye_dir_right,eye_dir_up,eye_direction_entropy,filename,final_emotion,head_jerk_rate,head_rotation_per_sec,head_rotation_variance,label,max_blink_streak,person_presence_gaps,person_visible_ratio,suspicious_object_detected,time_to_first_emotion_switch,total_blinks,unique_objects_count
943b062d,2.917681,63.728221,-34.330546,44.150696,0.489816,41,46,44,2,0.308684,Neutral,8.29,1.288005,0.155586,1.524978,3.253384,0.171159,0.937126,0.466125,440,0.80333,0.757908,0.16035,0.141528,0.178719,0.056059,0.344342,62cfa30c.json,Happy,0.437245,295.858309,3943.283442,cheating,24,5,0.823959,1,1.22791,349,9
cd2c3649,1.051064,80.869328,-42.671596,-58.404818,0.706324,15,6,8,3,0.456867,Angry,0.35,1.004882,0.172781,2.220395,1.139824,0.63784,0.579644,0.797218,522,0.59958,0.504102,0.170454,0.047683,0.002851,0.02786,0.742403,cada179b.json,Sad,0.641753,191.668567,19644.273111,cheating,7,3,0.965361,0,7.340486,284,8
affd1478,2.256235,65.553626,-36.793663,143.862961,0.685101,15,11,34,2,0.405192,Angry,8.95,0.008903,0.382808,1.878413,0.927476,0.421393,0.106347,0.785243,399,0.152376,0.346233,0.058867,0.161021,0.038654,0.093754,0.747642,0ceb7d0f.json,Sad,0.984563,291.394954,680.10126,cheating,27,2,0.807971,0,7.839031,574,8
dfb099d4,1.016098,85.205311,-42.892581,-32.471547,0.91165,4,17,6,7,0.423113,Happy,1.31,0.910891,0.387872,0.765917,2.854754,0.982847,0.818115,0.698795,82,0.049664,0.57081,0.15186,0.060005,0.123189,0.163069,0.330431,7c426af9.json,Neutral,0.448049,116.61098,8707.702434,cheating,31,8,0.92465,1,1.543278,222,19
f33dcaa5,0.983502,95.130942,-31.063611,-53.381741,1.029783,40,30,31,18,0.257918,Sad,3.22,0.777392,0.643346,2.471748,2.162566,0.649147,0.2878,0.642609,385,0.99488,0.562098,0.11525,0.181789,0.109522,0.196291,0.514137,3981854a.json,Neutral,0.468412,182.877045,17371.916203,cheating,12,2,0.941414,0,2.377298,126,10
1651691f,1.020997,87.639009,-36.557627,7.217772,2.108737,11,50,0,16,0.481313,Sad,9.47,2.657418,0.730925,1.925397,0.683373,0.276346,0.856033,0.667616,463,0.532341,0.518849,0.150019,0.09833,0.009771,0.195363,0.508578,24af2dad.json,Sad,0.865809,297.164539,8594.336831,cheating,5,0,0.861834,1,3.895272,458,8
d51e7123,1.561209,94.698004,-34.121261,-82.989187,2.408636,44,50,25,29,0.570617,Neutral,4.93,2.922894,0.349276,2.38175,0.775541,0.490612,0.94828,0.689766,10,0.894345,0.545601,0.159508,0.092636,0.167346,0.153797,0.408521,0a8e8f30.json,Sad,0.857181,154.997473,4326.202514,cheating,4,5,0.955204,1,7.921193,465,8
2016b582,2.523093,81.272591,-40.185817,12.593788,2.193598,8,22,0,3,0.284683,Angry,6.6,2.93094,0.970431,2.772003,1.768894,0.213914,0.793184,0.871037,183,0.956924,0.678404,0.060744,0.157825,0.098655,0.184583,0.617698,cd5f693f.json,Happy,0.324087,195.06325,6649.340949,cheating,35,4,0.819874,0,9.294397,409,11
45a48da9,1.037017,98.757446,-30.89338,14.348386,0.614566,17,37,45,21,0.196448,Angry,9.02,1.38894,0.303741,1.082768,1.656996,0.030674,0.202035,0.142149,428,0.8608,0.480029,0.066706,0.15523,0.000338,0.010971,0.697181,6ddf567e.json,Sad,0.760407,48.134474,9436.366882,cheating,17,2,0.810383,1,2.789659,369,15
1da2fcd7,1.9631,88.829737,-44.01235,76.611199,1.978395,22,6,47,10,0.413989,Sad,6.01,0.376086,0.677335,0.802288,2.72046,0.290203,0.548836,0.042629,141,0.311061,0.368836,0.037064,0.141573,0.185049,0.035173,0.591183,4445b2b0.json,Happy,0.86626,160.927105,3903.885456,cheating,34,0,0.910115,1,8.614157,82,12
f706500e,1.804724,94.371678,-43.721742,60.044748,0.881603,37,39,22,1,0.029491,Happy,4.11,2.391499,0.436203,2.11083,3.898559,0.569921,0.36268,0.596992,8,0.656452,0.294331,0.013641,0.047404,0.022714,0.154349,0.478581,f8a490e2.json,Neutral,0.316963,154.531527,7654.070659,cheating,21,7,0.983354,1,7.940267,466,9
ea3bf67c,1.651291,70.936996,-35.6724,73.555664,0.404889,50,15,42,11,0.249775,Sad,1.94,2.164279,0.734699,2.345882,3.561822,0.114945,0.190077,0.454678,223,0.408625,0.290398,0.192304,0.104155,0.102248,0.030248,0.487554,2a466798.json,Neutral,0.677909,168.610916,6048.965533,cheating,11,5,0.983846,1,3.723442,81,10
13d21215,2.286958,81.369324,-38.38132,127.578037,1.65754,1,45,42,14,0.352144,Neutral,7.85,0.810518,0.052608,2.799423,2.079039,0.963693,0.80632,0.21294,54,0.14206,0.707255,0.126703,0.013238,0.105163,0.059288,0.349105,97b9f895.json,Happy,0.551783,38.92421,16055.822082,cheating,15,8,0.88915,1,5.80906,207,13
74b9f5a4,2.770711,95.282678,-44.902095,44.406004,0.315128,16,33,5,13,0.031841,Sad,5.23,0.3385,0.385147,0.544796,3.997377,0.570412,0.939867,0.605798,421,0.749506,0.71436,0.157998,0.125512,0.179177,0.002194,0.52578,04a58535.json,Happy,0.674053,174.186062,13632.286666,cheating,4,5,0.870638,0,9.204141,520,17
c5891713,1.732307,98.908764,-34.464316,36.121903,1.868275,29,26,47,24,0.579244,Happy,9.93,2.961445,0.291582,2.809223,2.118614,0.62161,0.990252,0.774379,86,0.300701,0.612805,0.174598,0.148616,0.089586,0.040263,0.461233,296d238a.json,Sad,0.382543,267.188191,7666.511862,cheating,8,1,0.933709,0,2.540268,426,2
c9aa1610,2.884491,96.559406,-32.191455,40.289356,1.040912,20,7,35,13,0.158142,Angry,7.33,0.311998,0.277617,0.758398,3.316557,0.90942,0.893252,0.244895,57,0.094106,0.294941,0.193054,0.149795,0.066785,0.086722,0.703492,2c4f1336.json,Neutral,0.592702,27.808454,2871.785527,cheating,10,7,0.977834,1,3.941528,580,10
6c674870,1.330859,99.568268,-35.027305,-39.662429,2.398374,23,2,15,12,0.214942,Happy,6.48,2.902863,0.534561,0.657333,2.519599,0.637527,0.163143,0.280376,154,0.292802,0.390001,0.187761,0.101652,0.044941,0.119696,0.388567,1f704ea8.json,Happy,0.887965,59.097475,3026.736314,cheating,33,1,0.898252,1,2.027585,572,4
